Country,Sex,Age_Category,Year,Predicted_Rate
Afghanistan,Female,Youth,2025,33.65801818
Afghanistan,Female,Youth,2026,35.49821818
Afghanistan,Female,Youth,2027,37.33841818
Afghanistan,Female,Youth,2028,39.17861818
Afghanistan,Female,Youth,2029,41.01881818
Afghanistan,Female,Adults,2025,27.3568
Afghanistan,Female,Adults,2026,29.3771
Afghanistan,Female,Adults,2027,31.3974
Afghanistan,Female,Adults,2028,33.4177
Afghanistan,Female,Adults,2029,35.438
Afghanistan,Female,Children,2025,30.36341818
Afghanistan,Female,Children,2026,32.39974545
Afghanistan,Female,Children,2027,34.43607273
Afghanistan,Female,Children,2028,36.4724
Afghanistan,Female,Children,2029,38.50872727
Afghanistan,Male,Youth,2025,19.69987273
Afghanistan,Male,Youth,2026,20.48992727
Afghanistan,Male,Youth,2027,21.27998182
Afghanistan,Male,Youth,2028,22.07003636
Afghanistan,Male,Youth,2029,22.86009091
Afghanistan,Male,Adults,2025,12.85632727
Afghanistan,Male,Adults,2026,13.50106364
Afghanistan,Male,Adults,2027,14.1458
Afghanistan,Male,Adults,2028,14.79053636
Afghanistan,Male,Adults,2029,15.43527273
Afghanistan,Male,Children,2025,15.08821818
Afghanistan,Male,Children,2026,15.78793636
Afghanistan,Male,Children,2027,16.48765455
Afghanistan,Male,Children,2028,17.18737273
Afghanistan,Male,Children,2029,17.88709091
Albania,Female,Youth,2025,23.34049091
Albania,Female,Youth,2026,22.34284545
Albania,Female,Youth,2027,21.3452
Albania,Female,Youth,2028,20.34755455
Albania,Female,Youth,2029,19.34990909
Albania,Female,Adults,2025,8.564363636
Albania,Female,Adults,2026,8.146454545
Albania,Female,Adults,2027,7.728545455
Albania,Female,Adults,2028,7.310636364
Albania,Female,Adults,2029,6.892727273
Albania,Female,Children,2025,9.665072727
Albania,Female,Children,2026,9.143418182
Albania,Female,Children,2027,8.621763636
Albania,Female,Children,2028,8.100109091
Albania,Female,Children,2029,7.578454545
Albania,Male,Youth,2025,23.82147273
Albania,Male,Youth,2026,22.35985455
Albania,Male,Youth,2027,20.89823636
Albania,Male,Youth,2028,19.43661818
Albania,Male,Youth,2029,17.975
Albania,Male,Adults,2025,7.863145455
Albania,Male,Adults,2026,7.274745455
Albania,Male,Adults,2027,6.686345455
Albania,Male,Adults,2028,6.097945455
Albania,Male,Adults,2029,5.509545455
Albania,Male,Children,2025,9.163672727
Albania,Male,Children,2026,8.393027273
Albania,Male,Children,2027,7.622381818
Albania,Male,Children,2028,6.851736364
